token_index,batch,time_a,time_b,pair,mixed_with_wall,events
1025,3523,77822327017678465014333106232270569/20600883836771892099763873874281,371549208768628130567051497681700291/206008838367718920997638738742810,P0/P1,false,pair:P0:P1:N
1026,3526,263560636365323098360782790182832135/69493768433184286177233101700487,748131513469222471209287836474313915/416962610599105717063398610202922,P0/P1,false,pair:P0:P1:N
1027,3529,248860646861993629302051444813414885/65627965794884495468899027561061,236180299455376397241337477840304107/131255931589768990937798055122122,P0/P2,false,pair:P0:P2:NE
1028,3531,28176326908434429256277067824480847/7423088720452284788028657437647,26696959580319176886023328070772001/14846177440904569576057314875294,P1/P2,false,pair:P1:P2:S
1029,3534,888293262303842503946292622880775767/234260350773628451436617424493527,844883363340356205230075921424037273/468520701547256902873234848987054,P0/P2,false,pair:P0:P2:N
1030,3536,664507743961474251127049820442880601/174739553094507298368816278283481,627906139882134884041469217621906615/349479106189014596737632556566962,P1/P2,false,pair:P1:P2:SW
1031,3537,1253349641688364164624589186471400175/329190300514075033556618778242159,1181395080321024797855393915332775553/658380601028150067113237556484318,P0/P2,false,pair:P0:P2:N
1032,3544,1550582761208195638360105363807079803/407333382145670690537137827255547,1471473393052089132423898230562766517/814666764291341381074275654511094,P0/P2,false,pair:P0:P2:E
1033,3553,467577874114423580986229770910355577/122047907808081218388758132513529,439491363497890125840092230158205079/244095815616162436777516265027058,P0/P1,false,pair:P0:P1:N
1034,3556,1260164531315191125887035462903501551/329190300514075033556618778242159,1187236414286876478937490723703148161/658380601028150067113237556484318,P1/P2,false,pair:P1:P2:N
1035,3557,1835360903640357279285011270178638491/480827755187810016127172950680091,1741939807327531448274826764779930517/961655510375620032254345901360182,P0/P1,false,pair:P0:P1:NE
1036,3559,1066642484413355955812283207106091653/279082884871925802231474307027717,1012498034923677775064953143035451723/558165769743851604462948614055434,P0/P1,false,pair:P0:P1:E
1037,3562,2057294604038469147268272803777246023/537876964068912041281934835730631,1949929833296793726448795454118713257/1075753928137824082563869671461262,P0/P1,false,pair:P0:P1:E
1038,3564,603624111389878453841418580431334319/157690428281979669227948700280111,245527070554029983319042708401088997/135163224241696859338241743097238,P0/P1,false,pair:P0:P1:NE
1039,3569,1069887669949940223080114767311854213/279082884871925802231474307027717,1015418701906603615606001547220638027/558165769743851604462948614055434,P0/P1,false,pair:P0:P1:N
1040,3571,406492985054043989703351238099556865/105879915825109221651118048385153,384621818422644178839671387793079183/211759831650218443302236096770306,P0/P2,false,pair:P0:P2:W
1041,3573,788552931152263686609470996577376417/205605808658303097379400626087713,748039645961543492007994187185985263/411211617316606194758801252175426,P0/P2,false,pair:P0:P2:W
1042,3575,2282951403704778109229509577243182529/594379988880731102159892207232065,2159341058868845295722838114610359247/1188759977761462204319784414464130,P1/P2,false,pair:P1:P2:SW
1043,3580,2003089647168151317626612612415759443/521951550606972106766005020878803,1907526045616103994329698570601412957/1043903101213944213532010041757606,P0/P1,false,pair:P0:P1:N
1044,3582,2728116878715635552103165268522702617/708478406642935152469415977333145,2576619185022003558977908117370229751/1416956813285870304938831954666290,P0/P1,false,pair:P0:P1:N
1045,3587,51753653284207712368666226671935571/13413142823101875209009673413587,243852419220188914921388468968010449/134131428231018752090096734135870,P1/P2,false,pair:P1:P2:E
1046,3590,933357912110246895611278121206962579/242344346765114449805437466557715,885461137301145461165004161439938589/484688693530228899610874933115430,P0/P2,false,pair:P0:P2:NE
1047,3593,1382752947324720135186746795464034279/359519051153017921651126844288359,1319461281341767932485144346129464585/719038102306035843302253688576718,P1/P2,false,pair:P1:P2:NE
1048,3596,611698078019384541377141766156776417/158571561111535301631176194155105,115970296886743179660698930337776419/63428624444614120652470477662042,P1/P2,false,pair:P1:P2:N
1049,3598,1453815111935249859838988792111504593/376475774996133201895534200693585,275152424834158140964409269508113907/150590309998453280758213680277434,P0/P1,false,pair:P0:P1:NW
1050,3600,1320422377843354812778285099773679741/342544999751214277677010534849789,1255976635556566123805865994236661459/685089999502428555354021069699578,P1/P2,false,pair:P1:P2:NE
1051,3602,699914525771942935572916451396982841/181689994747718402567414413361849,667406984681436742007716675682604247/363379989495436805134828826723698,P0/P1,false,pair:P0:P1:NW
1052,3605,905523374594000515046590149757340919/234130413098854109956781568612983,857875992912026312177075340225749241/468260826197708219913563137225966,P1/P2,false,pair:P1:P2:NE
1053,3606,1211512348678138174423727921312841527/313282183880651719778650405874871,1148244503490227365798098170388935353/626564367761303439557300811749742,P0/P1,false,pair:P0:P1:W
1054,3609,3198991993371255992908457591307936213/827779877350726141564689981514325,3040405564024355384467825522910183163/1655559754701452283129379963028650,P0/P1,false,pair:P0:P1:SW
1055,3617,7501710161248157705216443825617970189/1934893835778496714959797750026381,7118961304758772707167916625493660739/3869787671556993429919595500052762,P0/P2,false,pair:P0:P2:NW
1056,3620,1764322107102518614387085922404551735/455170796063126782401595740567991,5031839889148110653702441107246719275/2731024776378760694409574443407946,P1/P2,false,pair:P1:P2:E
1057,3623,112986743552834466650342856704295947/29038972278473803045025420293003,745614277794148121509282500154163203/406545611898633242630355884102042,P1/P2,false,pair:P1:P2:NE
1058,3624,11506692791807793821651844138128025813/2960668954416429283952903358753109,10890772115557672296539263643767744507/5921337908832858567905806717506218,P0/P1,false,pair:P0:P1:NW
1059,3629,9025748271291924184225104858841057339/2318660833285450310460794617262011,8543256950209865014078972274705338357/4637321666570900620921589234524022,P1/P2,false,pair:P1:P2:NE
1060,3630,297107811053350677266483670872495417/76325773511873413981539471163321,281314135234131900848980725104535511/152651547023746827963078942326642,P0/P2,false,pair:P0:P2:S
1061,3634,297513459245423710674962615898215737/76325773511873413981539471163321,281638653787790327575763881125111767/152651547023746827963078942326642,P0/P2,false,pair:P0:P2:S
1062,3639,726245429845236060246029583788602167/187055151189053436799135005073591,3481689870537251432461035943013546397/1870551511890534367991350050735910,P0/P2,false,pair:P0:P2:S
1063,3641,297919107437496744083441560923936057/76325773511873413981539471163321,281963172341448754302547037145688023/152651547023746827963078942326642,P0/P2,false,pair:P0:P2:S
1064,3644,298324755629569777491920505949656377/76325773511873413981539471163321,282287690895107181029330193166264279/152651547023746827963078942326642,P0/P2,false,pair:P0:P2:S
1065,3648,298730403821642810900399450975376697/76325773511873413981539471163321,4218092678339785190389751480400605/2278381298861892954672820034726,P0/P2,false,pair:P0:P2:S
1066,3651,728841578274503474060294831953212215/187055151189053436799135005073591,3492074464254321087718096935671986589/1870551511890534367991350050735910,P0/P2,false,pair:P0:P2:S
1067,3653,1558380726955905048274840523886651055/397540305367960362601162132299823,4419707703924620798846718423888593987/2385241832207762175606972793798938,P0/P2,false,pair:P0:P2:SE
1068,3654,10712586967905798467634237556286408113/2729251850589804908754882275998769,10095627521567347598346320914771792607/5458503701179609817509764551997538,P0/P1,false,pair:P0:P1:W
1069,3658,8282891528008353259964067291606566463/2110028371029248485529730315823039,7827528766244732367396154009425184817/4220056742058496971059460631646078,P1/P2,false,pair:P1:P2:NE
1070,3661,17518084069236935481502285189395875353/4466641364635715546453875973660825,16643228440553281435409500529848669431/8933282729271431092907751947321650,P1/P2,false,pair:P1:P2:NE
1071,3667,2129399708044067586818575698892688397/542322764871786249076078273771661,2022763533867602540092235648132852803/1084645529743572498152156547543322,P0/P1,false,pair:P0:P1:SW
1072,3670,32690267206206279357164421674695839983/8315002465322653968185121565059695,31004893237728725669342298960253448321/16630004930645307936370243130119390,P0/P2,false,pair:P0:P2:SE
1073,3673,1934199102006104288083758891939414373/491373413776007361863980194490853,12831968525888241036564370068528976621/6879227792864103066095722722871942,P0/P1,false,pair:P0:P1:SW
1074,3675,16692002262496480481919033596964980583/4246395265348171750254434951425255,15889946227415077282687536610292233609/8492790530696343500508869902850510,P1/P2,false,pair:P1:P2:S
1075,3681,675504624872138706543027566227466689/171317437397665954185807532279873,10892103346626700879200062251413865663/5824792871520642442317456097515682,P0/P2,false,pair:P0:P2:SE
1076,3686,4592570773761463278441876896802227127/1156210764214160996771958564876599,4295535819706435094254127047156430393/2312421528428321993543917129753198,P1/P2,false,pair:P1:P2:E
1077,3687,6326622342673006488452576287882356509/1598721289019940219615510938237853,5975715634928529139047053388274047539/3197442578039880439231021876475706,P0/P1,false,pair:P0:P1:NE
1078,3691,585629022169078626619934576023893341/147855119502118913655427500288477,184580779531308290582407906140620113/98570079668079275770285000192318,P1/P2,false,pair:P1:P2:S
1079,3694,13326212816698555273064676109681953817/3375230643413569971554770214266521,12710853596382882691241289547891453687/6750461286827139943109540428533042,P1/P2,false,pair:P1:P2:SW
1080,3695,6815707187372639519997369061354741703/1722422350995267890226601340482887,6472045467278049075664089706661720873/3444844701990535780453202680965774,P0/P1,false,pair:P0:P1:SE
1081,3697,1344742594023395785965290530781397629/341540153470396273297741593872125,1293804676734995223824391352510842067/683080306940792546595483187744250,P0/P1,false,pair:P0:P1:SE
1082,3699,16723611652716266776066848905119032453/4226071582500702222701945159277829,15891567808061429861409559055821205323/8452143165001404445403890318555658,P0/P1,false,pair:P0:P1:SE
1083,3702,20518258722505122287598437325882715577/5178117139574186705322092438329401,19465394062261579944932932249382278999/10356234279148373410644184876658802,P0/P2,false,pair:P0:P2:W
1084,3705,7612396150706659819272245529972217073/1919380895094754698073144050346865,1443828612822747691518169506969902675/767752358037901879229257620138746,P1/P2,false,pair:P1:P2:W
1085,3710,7625376892852996888343571770795267313/1919380895094754698073144050346865,7229527657830808112847908527507953567/3838761790189509396146288100693730,P1/P2,false,pair:P1:P2:W
1086,3713,989191568757042824172140327042199721/248596680310140928036280541180713,4676267206532878678298743199585474819/2485966803101409280362805411807130,P0/P2,false,pair:P0:P2:S
1087,3718,75025317703371215310321064675616687/18780067668339757643409606500655,211403908112367715904646990442164547/112680406010038545860457639003930,P0/P2,false,pair:P0:P2:S
1088,3719,11437465710600188827900535582559576381/2873276595412602106918462470391229,10842162170909454096225063859597668883/5746553190825204213836924940782458,P1/P2,false,pair:P1:P2:N
1089,3721,4235035211076552158109713373700374429/1070390099251985373151140246328349,4077237111313687187276360165448403379/2140780198503970746302280492656698,P0/P2,false,pair:P0:P2:S
1090,3725,15313005268893928699136831780780804245/3843004580890111641651148156430613,14545283915129645540438785959097918523/7686009161780223283302296312861226,P0/P1,false,pair:P0:P1:E
1091,3731,7223255766072258989397621910936453869/1798643705460014488262462168325997,6756580913005760008633692235005555555/3597287410920028976524924336651994,P1/P2,false,pair:P1:P2:SE
1092,3735,5174334221252522707922515433120109339/1295589982568697237706738123516571,4915165223939710159968760394094478101/2591179965137394475413476247033142,P1/P2,false,pair:P1:P2:NE
1093,3737,4209992591430305714288405567852869957/1053157986199319854023566702006725,3993279010528563419636727741466330763/2106315972398639708047133404013450,P0/P2,false,pair:P0:P2:SW
